sim_name,result
30_90-with-90_30,0.000000
30_90-with-100_10,-0.025019
30_90-with-100_40,-0.006461
30_90-with-60_70,0.000000
30_90-with-30_50,-0.045000
30_90-with-90_60,0.000000
30_90-with-20_20,-0.042321
30_90-with-20_10,-0.076754
30_90-with-50_1,0.019615
30_90-with-40_30,-0.036046
30_90-with-1_1,-0.156118
30_90-with-20_80,0.026667
30_90-with-100_60,0.007159
30_90-with-1_40,-0.361712
30_90-with-80_1,0.001903
30_90-with-90_20,-0.026817
30_90-with-10_10,-0.060193
30_90-with-50_20,0.008165
30_90-with-10_90,-0.107331
30_90-with-30_70,0.010000
30_90-with-10_50,-0.122202
30_90-with-40_90,-0.017889
30_90-with-70_20,-0.031300
30_90-with-1_60,-0.482639
30_90-with-70_70,0.024495
30_90-with-100_80,0.000000
30_90-with-60_10,-0.059945
30_90-with-90_1,-0.014356
30_90-with-60_30,0.014548
30_90-with-100_30,-0.010140
30_90-with-30_30,-0.013333
30_90-with-10_60,-0.069488
30_90-with-80_30,-0.036583
30_90-with-80_90,0.010733
30_90-with-60_40,-0.006644
30_90-with-10_70,-0.013333
30_90-with-50_10,-0.055377
30_90-with-90_40,-0.009562
30_90-with-70_90,-0.008944
30_90-with-60_60,0.004444
30_90-with-60_90,0.059628
30_90-with-40_10,-0.056947
30_90-with-10_20,-0.043546
30_90-with-70_50,-0.010000
30_90-with-20_60,-0.024988
30_90-with-60_20,-0.010307
30_90-with-60_100,-0.005714
30_90-with-30_40,-0.044000
30_90-with-100_90,-0.015333
30_90-with-100_1,-0.005063
30_90-with-50_60,-0.010690
30_90-with-40_80,0.040000
30_90-with-40_20,-0.039499
30_90-with-40_40,-0.011711
30_90-with-60_1,-0.006308
30_90-with-80_20,-0.015628
30_90-with-30_60,-0.033333
30_90-with-30_80,-0.020000
30_90-with-80_60,0.009457
30_90-with-80_40,-0.008000
30_90-with-80_100,0.003522
30_90-with-80_50,-0.020367
30_90-with-90_70,0.011429
30_90-with-80_80,-0.003522
30_90-with-60_50,-0.015325
30_90-with-50_40,0.018257
30_90-with-50_100,0.032660
30_90-with-50_50,0.013093
30_90-with-50_70,-0.026667
30_90-with-1_50,-0.441575
30_90-with-20_70,-0.026186
30_90-with-30_100,0.020000
30_90-with-70_10,-0.037097
30_90-with-100_50,-0.006827
30_90-with-40_60,0.024988
30_90-with-70_80,0.013093
30_90-with-40_70,0.000000
30_90-with-90_50,-0.002561
30_90-with-100_70,-0.007428
30_90-with-80_10,-0.024591
30_90-with-10_30,-0.043729
30_90-with-50_80,0.040825
30_90-with-70_1,-0.010040
30_90-with-40_50,-0.014446
30_90-with-100_100,-0.015209
30_90-with-40_100,-0.013333
30_90-with-70_40,0.000000
30_90-with-1_20,-0.243398
30_90-with-10_1,-0.054486
30_90-with-70_30,0.002673
30_90-with-1_30,-0.316214
30_90-with-30_20,-0.017143
30_90-with-10_80,-0.081650
