sim_name,result
30_90-with-65_1,0.002059
30_90-with-75_15,-0.013305
30_90-with-90_5,-0.044329
30_90-with-90_30,-0.002222
30_90-with-1_35,-0.303310
30_90-with-35_55,-0.016943
30_90-with-95_80,0.019142
30_90-with-100_10,-0.041103
30_90-with-35_100,-0.070436
30_90-with-100_95,0.015302
30_90-with-1_75,-0.617860
30_90-with-100_40,0.000000
30_90-with-65_25,0.005280
30_90-with-60_70,0.066579
30_90-with-30_50,-0.005000
30_90-with-70_75,0.029680
30_90-with-90_60,0.029938
30_90-with-20_20,-0.025392
30_90-with-95_10,-0.009265
30_90-with-20_10,-0.047043
30_90-with-65_30,0.000000
30_90-with-30_35,0.003636
