sim_name,result
30_90-with-90_30,-0.002222
30_90-with-100_10,-0.041103
30_90-with-100_40,0.000000
30_90-with-60_70,0.066579
30_90-with-30_50,-0.005000
30_90-with-90_60,0.029938
30_90-with-20_20,-0.025392
30_90-with-20_10,-0.047043
30_90-with-50_1,0.039230
30_90-with-40_30,-0.016385
30_90-with-1_1,-0.135021
30_90-with-20_80,0.000000
30_90-with-100_60,0.007159
30_90-with-1_40,-0.375109
30_90-with-80_1,0.007612
30_90-with-90_20,0.002063
30_90-with-10_10,-0.040931
30_90-with-50_20,-0.024495
30_90-with-10_90,-0.053666
30_90-with-30_70,-0.030000
30_90-with-10_50,-0.052372
30_90-with-40_90,0.071554
30_90-with-70_20,-0.026485
30_90-with-1_60,-0.424000
30_90-with-70_70,0.016330
30_90-with-100_80,0.017744
30_90-with-60_10,-0.016139
30_90-with-90_1,-0.007178
30_90-with-60_30,0.002910
30_90-with-100_30,-0.016225
30_90-with-30_30,-0.036667
30_90-with-10_60,-0.032071
30_90-with-80_30,0.014633
30_90-with-80_90,0.010733
30_90-with-60_40,0.003322
30_90-with-10_70,-0.073333
30_90-with-50_10,-0.050562
30_90-with-90_40,-0.002390
30_90-with-70_90,0.013416
30_90-with-60_60,0.004444
30_90-with-60_90,0.053666
30_90-with-40_10,-0.042091
30_90-with-10_20,-0.054433
30_90-with-70_50,0.026667
30_90-with-20_60,-0.024988
30_90-with-60_20,0.005153
30_90-with-60_100,0.062857
30_90-with-30_40,-0.040000
30_90-with-100_90,0.012778
30_90-with-100_1,0.011813
30_90-with-50_60,0.032071
30_90-with-40_80,-0.040000
30_90-with-40_20,-0.002821
30_90-with-40_40,-0.019518
30_90-with-60_1,0.010514
30_90-with-80_20,-0.020093
30_90-with-30_60,0.033333
30_90-with-30_80,-0.040000
30_90-with-80_60,0.000000
30_90-with-80_40,0.005333
30_90-with-80_100,0.010565
30_90-with-80_50,0.011638
30_90-with-90_70,0.008571
30_90-with-80_80,0.010565
30_90-with-60_50,0.030650
30_90-with-50_40,0.000000
30_90-with-50_100,0.089815
30_90-with-50_50,0.021822
30_90-with-50_70,0.006667
30_90-with-1_50,-0.360232
30_90-with-20_70,-0.017457
30_90-with-30_100,-0.080000
